026a11501c7dcd945a2c93c90b41335758387cffdd05ba3ea7a8999b25a57e4a,0338a3869561dfda5f4d6ab33b39ba27f44a361f67704309a6649bfd34eb3dbb,03449b28740a61ab701a318b2d5966ab20413ffbbb0c326b545982f4bd87f5c6,0c6c4fbe8705f7ee24e7b473d603f69ace952031d7a2754cad416408a74d1b6a,0d4b5c485748fbeae5a56f1f041d6738fdd1831e7bc84f412bddfe9c84118a61,0e3b5d144454977a4eca280bf3ed36c25d1c80a4fa6dd008e6d578f6c7fbe49c,0ef35544b5bb7bb0b1d1752479edc1055f4415353b40237359720b7a4735457b,0fd15ccc2bfe43f85a20572ba595c3f69f3a1201822feb49a9b927a16a8af326,15eb56f00c71e813bff7c6d41827f2a9b731b5060a417472b6f0cff9271bcee1,194c32342e56d635a900484403958a007cbb994bbafd22ac0453386c12f3af5d,1abd9c5250995bc4a353730d86d06ce00f6ca6cdfed1665da21ac32fea7fa939,1aefe02d7101eab84d2cf9b70223d6dee0082b300cf9ff78d1125e0ebb3203ab,1f240067b29415e65c09e3a201149a1ecfaf35993b50c1fcbbcc8adb677c2083,1f8a09eaae89820cea9ff7d71efede7b690c3f37f81c5a9ebb94a4714ac80875,26b049c274ac75255019a41169efa596bc1e64c710e7a7a35c3e2e1c8ef63bc3,28896e155e1783df84d2268b9915c29cb37ae2854d7afe13bab77770be32dec6,28a49473ace00494dfcfdc5fe23c30aa6d9b0b43c71b41ff4debeb16afad4555,2af9e3c526055046997436fe8aaa70a007835aa3e84ad9b4f4305282e38df9a0,2b3ea2934228b7c97e43b67f3fc216c1eea3db8d62cce62c6ff3dea42d917e7c,2b8f2fcf56a3ef856961f97b58bcdd806e92754fce1da50007eab8a5a9b4248e,2c28c8131c9e9a6a970961208f7e36664a3920fc125132cdd6e0e9fc68e5e3af,2ce0124174f20ad5bb97aaf81e4e4ca57de3f2ad329057b0635ad2b66d0120e3,2d4f3502362de8cd2fa516d2df7baad9a05a8f8f1946af3d0362302f72e93070,2daa391246059c3e0f8d37c8bdafa28977a2f1cb7d469c6ecdd3a2d2a9837c87,2de06cdad6a9a4f9de1184e0cb37998b2372253f7329fe2b7907b63c3c10f638,2fb7b793ccae29f3baa569dda69d6eb3ed23fe3c80c77a5d9a90765c4d0ed9cd,3607fb5f143bcf8ca1d78f1288afbc82cba47bb251a86c06f02a5bf07955231f,3b6ddbdb038bcc22ceefe41425d99aee7ac71934465df1c9a5a817ac579c8b88,3eb7a60a285c377032b019c7b265b834b4c62ebc0420d1f6e6e93cb7b87c5146,426c12e2fffbe6a0e556a054ef763138efb197e30bf306148915277a14a7ce64,4438ce191e006ee70eb832b0d16ef0d9525a700fcc161d19153077eead99e515,4556a62786d577687e5be63315a596ac2cf9461b9384d1ce898f16bd590a129b,474266f1cc093c59884b44b7da4e43f18948d0fad8395d7d8a9183971eb9066d,475ef9ed70bfffd470ad8b945a229c2987f32a6e9f242c1ac47c2b034fe0a6ad,479742e06b20343ce8f65cbde72b2a07505b962743481cebeccc291766be9dee,47b05905c3c1019ea6508ebc26152e4828ae462e1bdd53f61d9f020095301ed9,48faa8d45d820ca92c36e9920ecb9deb17646ed01749957ddb8c527bd031d0b9,492a94f59730ba2bd98714e6f26f6d67055bdc72634f758418600253a24ad054,5175b70a27a402df305a8c90f3354302ce4b6514c498398bdc06ff969e4b3a67,51767a37b8fd2cbe0ccefb7ebb16ab78575b9bd874313bac8f09e1cf5b014b5d,56dbbc79897f8238976a0e3e6d3b36692b60ecda368992969fa9976ed67520be,5b257fe240acea4b3a063aefdff249add430cd439142ce7c23560596d1aa1851,5c239d747963f76000ed162e15dda89e4f35bcc31301a40617c1b39317caf16c,5c7969a35b2b282de6484d0b78d8d83db3d0c917d31de68ffd61d821ca5348e8,61813fd4baaddde34c635d0e79598335da8809fe166e16458ef731dbf55015d7,6b61deaffb218a58aaff4fbc16f96ed8bfc2806014f22417fab46eb8020eb17b,6bc4c48703666811524392db27d5abf405a6fc756ffaf9934ebda017f80c3890,6da79f3082f64fe3b355098c102d8eefd5dd82d78d5e6cb3d2613dae3d685188,6e841590623485d3fb1dd5b34c6e14401ee818bb247391c36a31004056be9094,72a4981e61d3bdd8728e15093ccbd80b9c405b4ffad3382d055fc74fe3db93e2,74a3c14c6ea2431a00d3d6691d87ad391d5a443398cd87ded9ee70334a7bda3f,74c63165de6606d2049ae30baefac5ddc6c45a797c5fc9e17973ea2f6a0c129a,771f7836e801cd812652ce264f3909021eae124b7c0696315c2620e602ebcd13,7a37c3bb560073e085d081db0c621d69cab45083783579df8841b11df32b7cc9,7d97e125e0be86a58bafc293f83cdbc18d42a78bcd31089cfbf0a0ff814fb710,87e629c9c1254a02cc0d302d62303dc01e13f04749a98f5df93b861997d32e77,8e62d6b0cb95ee7c80e240d6a0a954830047fb366a195a6d65c5bd36919a201f,90eff4d5d6f8d0aaef988afab79d2810406f9aecc08ead289ddc48efd73763c6,92ffe3540a1b03de476fe784fea27ed691bee4da0ec28563f9d8f0d760777260,985c073e19dd1a92aaf77c1b94c179759d7ab4f7199f3e3d778df09e88ca7dbd,9d47dbafbd37df75fcc16c691ad794f5a17b4ba6e6daf43aa9c3673ab442baf5,9edab2963a11e6d5a74b2700601235cd08a9d68caa7fb97953347c9bcfbab1be,a029bf7908a71d4437a671ce545d8c6354907a17b09ab57340391a5449d28648,a235dd14ee0cceead721a8c17251edd878f0e3a313a981008c1a4b62082049d7,a693889536a503420236838f5245f9b4da124525bab2e0c6e74d4f393aace5d4,af73b431a9d3eed7f1cec0dd102bd1c3e3e794a7b8b71f71de1aca293563ee12,b7d314be67c505404639cc63c0736b3cd659c5781b40be993070e82a52722002,bdfe4fa42428f6aa7cf14ee2129d02155b1f372e068628b3ed6e6516f356bed3,c32f3d438cd4193c23da7091e6be8bfc06af0b5d1b165f228faa79e9ea15a0dc,c4767cf2f83be44766d7dc92b9855ed5f6b59afc179429fb085fd711216879a4,c6700111e0d7215869d978318a517913fa53398e1096fb337cac364a29ad5e63,c6d0b16350c00ba7062d63a9e894f294ec547c16280cc4befaed37eb77919874,c9dd63137e7722e0f02c4e52fb0fd29c81f7188d7baa25bdf9a5e7be5cbd09a1,cd91d93b8b957895db32f28c3176894454c39afc0a98387e7b4ef621161d88ec,cde8f0224206112dc53791e447f6b0a8d32cb105617efcef711e271a14d00953,ce0e54638bf6da228b0ed6c54d11d30a94362a81c1f7462b50267d15662fb82b,d023d6faca088c6b914bf08bfb86bc831a45da52722d43be2c5d6ab5c77d53e2,d3d4b06913f41e8882e7b70db7f2ea0edb73b09c9f8c54257f5ac092dabd96f4,d40f19bf1794cd04f7755762be1d4c0679564e75abd9d44974d5c3f2f75a8bfe,dac1876b170e3ee191877ac94a899a34f37da3132ab4c48471682380f4102323,e2dcde6b7576baef214215a5ca6f202dd1992bf9976048ea16962c6f1fc49991,e4d09b9c0499c19b84255f33a6e0acd7c2d898e2df4547ff5f9bbc4184e598f3,eb51538870a62e91ab9bdf455757af0e810775fcfa8c5b9d0d4d6fe6c037ffb1,ed99223d21af2088292c3fed0c23e8bee35b4d20f46ff79d00ca2a109fdb3aab,ef1cc868a87d5060f3bf45e3dfc8409fec5e5b3ba9881076275f6f40152685a8,f062b468d532324fcb01a3a0b9d6e19450f9b864d803ae7d95ad748b15716a2e,fb19c7bbf46050f67d3d5f160ec4d4595d3d9f8cf1074eca9f38fbaf9193c966,fba1da60c50525da09a6f5452a0f3e8f8ff2131bf2cae7823539bab4059a064d
1.0,1.0,1.0,1.0,-1,1.0,1,1,1,1.0,0.5,-1.0,1.0,-1.0,1.0,1.0,-1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1.0,1.0,-1.0,1.0,1,1,1.0,-1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,-1.0,-1,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1.0,1,1.0,-1.0,1.0,1,1,1,1.0,1,-1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,0.5,-1.0,-1.0,-1.0,1.0,1.0,-1,1,1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1,-1.0,1.0,1.0,-1.0,0.5,1.0,1.0,1.0,1.0,-1,0.5,1.0,1,1,1.0,1,-1.0,1.0,1.0,1.0,1,1,1.0,1.0,-1,1.0,1.0,-1,-1,1.0,1.0,1.0,0.5,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1.0,-1,1.0,1.0,-1.0,1,1,-1,0.5,1,1.0,1.0,-1.0,1,1.0,1.0,1.0,0.5,-1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,-1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.5,1.0,1
1.0,-1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1,1,1,1.0,-1.0,-1.0,1.0,1.0,0.5,-1.0,1,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,-1.0,0.5,0.5,1.0,1,-1,0.5,1.0,-1,1.0,1.0,1,1,0.5,0.5,1.0,1.0,-1,-1.0,-1.0,1.0,0.5,-1.0,1.0,1,1.0,1,1.0,1.0,-1.0,1,1,1,1.0,1,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,-1.0,0.5,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1,1,1,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1,-1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1.0,1,1,1.0,1,1.0,1.0,1.0,-1.0,1,-1,0.5,1.0,1,1.0,0.25,1,1,1.0,1.0,1.0,1.0,1,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,-1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,-1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.5,1.0,1.0,1.0,1.0,-1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,1.0,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1.5,1.0,1,1.0,1.0,1.0,-1.0,1.0,1
0.5,1.0,0.5,1.0,1,0.5,1,1,1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,-1,1,1,1.0,-1.0,0.5,0.5,0.5,1.0,-1.0,1,0.5,1.0,1.0,-1.0,1.0,1.0,1.0,0.5,0.5,1,1.0,1.0,1,1,0.5,1,-1.0,0.5,1.0,0.5,1,1,1.0,0.5,-1,0.5,-1.0,1,1,1.0,1.0,1.0,0.5,-1,-1.0,0.5,1.0,1.0,0.5,1.0,1,1.0,1,1.0,0.5,-1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,0.5,1.0,1.0,0.75,-1.0,1
-1.0,-1.0,1.0,1.5,1,1.0,1,1,1,-1.0,1.0,-1.0,-1.0,1.5,1.5,1.0,-1,1,1,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1,0.5,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,1,1,1.0,1,-1.0,1.0,1.0,-1.0,1,1,1.0,-1.0,-1,-1.0,-1.0,-1,-1,1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,1,1.0,-1,1.0,1.0,0.5,1,1,1,1.0,1,1.0,-1.0,1.0,1,-1.0,1.0,-1.0,-1.0,-1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,0.5,1.0,1,0.5,0.5,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,-1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,-1
1.0,1.0,1.0,1.0,-1,1.0,1,1,1,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1,-1.0,1.0,1,1,1.0,1,1.0,1.0,1.0,-1.0,1,1,1.0,-1.0,1,1.0,-1.0,1,1,1.0,1.0,1.0,0.5,1,1.0,1.0,-1.0,1.0,1.0,1.0,1,-1.0,1,-1.0,1.0,1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,-1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1,1,1,1.0,-1.0,0.5,1.0,1.0,1.0,0.5,1,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,-1.0,1.0,1.0,1.0,1,1,1.0,0.5,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,0.5,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,-1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.75,-1.0,1
1.0,1.0,1.0,1.5,1,1.0,1,1,1,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1,1,1,-1.0,1.5,1.5,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,0.5,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,0.5,1,1.0,1.0,1.0,1.0,1.0,1.5,1,2.0,1,1.5,1.0,1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1,1.5,-1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,-1.0,1.0,1,1,1.0,-1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,-1,1.0,-1.0,1,1,1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,1.0,-1.0,1.0,1,1.0,1,1.0,1.0,1.5,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,-1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,-1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,-1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1.0,-1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1.0,-1.0,1.0,1.0,1,1,1.0,0.5,1,1.0,1.0,1,1,1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,-1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,-1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,-1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,-1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
-1.0,-1.0,1.0,-1.0,1,1.0,1,1,1,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,1.0,1.0,1,1,1.0,1,-1.0,1.0,-1.0,1.5,1,1,1.0,-1.0,-1,-1.0,-1.0,-1,-1,1.5,1.0,1.0,1.5,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,1.0,-1,1.0,1.0,-1.0,-1,-1,-1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,-1.0,-1.0,-1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,-1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,-1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.5,1.0,1.0,1.0,1.0,1.0,-1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1.0,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,0.5,1,1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,-1,1,1,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
-1.0,1.0,1.0,1.0,1,1.0,-1,1,1,1.0,0.5,1.0,1.0,0.5,1.0,1.0,-1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1,-1.0,0.5,1,1,0.5,-1,1.0,0.5,1.0,1.0,1,1,1.0,-1.0,-1,1.0,-1.0,1,1,1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1.0,1,-1.0,1.0,1.0,1,1,1,1.0,1,1.0,0.5,1.0,1,1.0,1.0,1.0,-1.0,-1.0,1
